region,metric,n,pearson_r,pearson_p,r_ci_low,r_ci_high,spearman_rho,spearman_p,slope,slope_se,mean_nino,mean_neutral,mean_nina,n_nino,n_neutral,n_nina,welch_t_nino_vs_rest,welch_p_nino_vs_rest,r_within_nino,p_within_nino,n_within_nino
MT,apr1_depth_zd,29,-0.40273786909392667,0.03030462321587615,-0.6117522234538691,-0.16466526019479746,-0.3812223232840843,0.04130795013912625,-0.29272012655841556,0.12803213416880196,-0.43993296571529095,-0.1302136990878003,0.3404742252628615,10,7,12,-2.253303202777173,0.03335179864771254,0.031248578176956893,0.9317104442308862,10
ID,apr1_depth_zd,29,-0.3073806369480184,0.10479713371627582,-0.5536374093526428,-0.03784295574518145,-0.402415031624376,0.030450067531531448,-0.22387876867263448,0.1333837305799686,-0.3294983156782865,-0.16454792276351315,0.3525058150360368,10,7,12,-1.7444600452633132,0.09397070435992348,0.33632936590544404,0.34200608648804953,10
WY,apr1_depth_zd,28,-0.09521239551221254,0.6298457776590154,-0.37007453379819444,0.18478966480296122,-0.17223441794177066,0.3808111077023402,-0.07019095272208098,0.1439207679091467,-0.07279409280210025,-0.26464668896591415,0.13050261702915622,9,7,12,-0.20970219742229476,0.8357465513751678,0.4144552328899056,0.26739066230967723,9
CO,apr1_depth_zd,29,0.13134070495576647,0.4970550420830904,-0.1670072313852776,0.3943457766602982,0.06554953975020454,0.7354902413519218,0.09331618185943844,0.13554926838808037,0.2507948010097708,-0.6296390609662664,0.0710534517652117,10,7,12,1.606833028762582,0.12080701895875758,0.28918128105058494,0.41771485193853536,10
UT,apr1_depth_zd,30,0.06461277295921132,0.7344471928996676,-0.2061994150112892,0.36355898976295775,0.038281775437487404,0.840822324430613,0.04940776068672078,0.14420799180119637,0.12231390511915448,-0.3148806655785457,0.10962485749524951,10,8,12,0.5524349648677838,0.5874007527101868,0.24977526866661043,0.4864471612602531,10
North (MT+ID),apr1_depth_zd,30,-0.374563825808477,0.04141874154245386,-0.591731278080403,-0.14072243141337823,-0.3785889535998027,0.03911181058747531,-0.2774682180095447,0.12980228882956565,-0.39284701589712173,0.04959569385073312,0.34220427535441145,10,8,12,-2.32947777832491,0.028261459632227873,0.17532235529134468,0.6280550638889862,10
South (CO+UT),apr1_depth_zd,30,0.09557464251487108,0.6153911902800087,-0.18851654447843436,0.37191132180433606,0.04540396621655482,0.8116923939986179,0.06782720067136995,0.13350254550810184,0.18567517404514602,-0.3811252220622212,0.08489425782029524,10,8,12,0.9905351964359964,0.33348236422866884,0.26626391865889926,0.457114593265221,10
ALL,apr1_depth_zd,30,-0.18424679051276255,0.32972971198346496,-0.41818318039052044,0.07358737638214227,-0.23926109648429625,0.20287844815959202,-0.10824134341554144,0.10912260637284464,-0.12265254871066296,-0.1752576362688051,0.2353009060338581,10,8,12,-0.8214942115717926,0.420279228435664,0.332684072362129,0.34759172828795537,10
