region,metric,n,pearson_r,pearson_p,r_ci_low,r_ci_high,spearman_rho,spearman_p,slope,slope_se,mean_nino,mean_neutral,mean_nina,n_nino,n_neutral,n_nina,welch_t_nino_vs_rest,welch_p_nino_vs_rest,r_within_nino,p_within_nino,n_within_nino
MT,apr1_density_zd,29,-0.023153596001549537,0.9051033912366673,-0.34755589240026713,0.2674797788625734,-0.011828488375976758,0.9514401059196204,-0.01478311758463011,0.12284267261619021,-0.0028152070902058234,0.2756927955278479,-0.07295859726938574,10,7,12,-0.2061729506068441,0.8388880390885706,-0.12733109005360446,0.7259354530407323,10
ID,apr1_density_zd,29,0.05351995492759244,0.7827527110673832,-0.2945513334021644,0.37247622303218003,0.10497783433679374,0.587847987688697,0.036350670451511045,0.13052446397110512,0.0010269124582580169,0.4470684204230707,-0.10227393880673459,10,7,12,-0.30961588025634895,0.7609167473007032,0.1720218839267296,0.6346410459854888,10
WY,apr1_density_zd,28,-0.21757897161066364,0.26604411117300086,-0.5373967996033974,0.21234930327066173,-0.14813802878616522,0.45187080269614344,-0.15284199045645058,0.1344645855614183,-0.2543100096760327,0.49761346581708976,-0.018034362786131585,9,7,12,-1.3932912048893316,0.18492296264132022,-0.5462147453811199,0.12813336251612753,9
CO,apr1_density_zd,29,-0.05298411649048829,0.7848770262229442,-0.31234252274463914,0.26208489031714255,-0.009117793123148752,0.9625595611011967,-0.025521688224302737,0.09257023403110906,-0.11181521790543394,0.08161768234885723,-0.08169117563194621,10,7,12,-0.43536032102138233,0.6679504979270434,-0.43102137847339744,0.21364314344652108,10
UT,apr1_density_zd,30,-0.007942511297446006,0.9667737442668932,-0.2980038846113685,0.2905053740742866,0.051413314686392965,0.7873026271234195,-0.004457926886143784,0.10606751293245986,-0.00645963069624281,0.11069304321414364,0.004067612689257825,10,8,12,-0.23269427967805245,0.8182013785891162,-0.05251446328852098,0.8854408874726293,10
North (MT+ID),apr1_density_zd,30,-0.009280399894748353,0.9611807717101855,-0.3372060950051086,0.29321348994918023,0.04651680852578411,0.807161992151573,-0.006007004126717703,0.1223188871847369,0.004886617876121324,0.4344786803793955,-0.07491625106932608,10,8,12,-0.43220997879164846,0.6710055189770959,0.0033372020759165483,0.992699951759331,10
South (CO+UT),apr1_density_zd,30,-0.03141280532025269,0.8691135809010994,-0.28068573755896303,0.2364819832793019,0.06788338086298638,0.7215221127563233,-0.015875621284185036,0.09546201843312017,-0.04249995424831181,0.1739053913540012,-0.031557525591733256,10,8,12,-0.45885777927950155,0.6508095419138547,-0.22008269754704207,0.5412180047315169,10
ALL,apr1_density_zd,30,-0.058399397941206126,0.7591960191055293,-0.32974963966067683,0.2281181509825889,-0.031382153120265835,0.869240210580885,-0.02984871712841879,0.09642650824916381,-0.0602596098583751,0.34815531245858067,-0.05742676809819775,10,8,12,-0.7402572199333339,0.46898735796907975,-0.1885446288266512,0.6019104512286336,10
