region,metric,scheme,n,r_obs,p_perm,r_ci_low,r_ci_high,slope_obs,slope_ci_low,slope_ci_high,diff_nino_rest_obs,diff_ci_low,diff_ci_high,p_perm_diff,n_resamples,bh_slope_mean,bh_slope_sd,bh_slope_significant,bh_r_mean,bh_r_sd,bh_r_significant,bh_diff_mean,bh_diff_sd,bh_diff_significant,bh_calibration,bh_slope_significant_cal,bh_r_significant_cal,bh_diff_significant_cal
MT,apr1_swe_zd,brown_harper_2026,60,-0.49156932459302527,0.0001999600079984003,-0.5687807723636548,-0.415546610783903,-0.3716983736182431,-0.4472731125519726,-0.2972823261418613,-0.7314177244896031,-0.904856144359133,-0.5587208125415306,0.0001999600079984003,10000,-0.37227771934691695,0.03749769660252783,True,-0.49216369157377887,0.03830854039493793,True,-0.7317884784503318,0.08653383295440062,True,2.0,True,True,True
ID,apr1_swe_zd,brown_harper_2026,46,-0.28914186975605827,0.04379124175164967,-0.4274439265368141,-0.15210763100097752,-0.2240740696897571,-0.34794963753958713,-0.10644035263992868,-0.4998128473826367,-0.743859492926014,-0.2532012677412807,0.04979004199160168,10000,-0.2271949950897579,0.06037732122491461,True,-0.2897757787688958,0.06883407388395915,True,-0.4985303803336474,0.12266455629618334,True,2.0275875100994063,False,True,True
WY,apr1_swe_zd,brown_harper_2026,48,-0.20380080580435625,0.16636672665466906,-0.30494694545433443,-0.10330938403440468,-0.14655188428190044,-0.22739529981552603,-0.06907420412466521,-0.30011766472433005,-0.4938562057542062,-0.10711249180399982,0.19016196760647872,10000,-0.1482347519700956,0.0395802739227152,True,-0.20412816474436957,0.050409390354982445,True,-0.300484348779103,0.0966859284875516,True,1.9493588689617927,False,True,False
CO,apr1_swe_zd,brown_harper_2026,48,0.03882893449906052,0.7920415916816637,-0.07209548266223187,0.15148129103566454,0.028250546500029217,-0.05400335210385636,0.10978759760233557,0.2012075716021799,-0.003306574973902049,0.4045690749393617,0.3887222555488902,10000,0.027892122749239603,0.04094773742654798,False,0.03969290418671634,0.0558941934244741,False,0.20063124998272983,0.10196891247831594,False,1.9493588689617927,False,False,False
UT,apr1_swe_zd,brown_harper_2026,48,0.0544777072139517,0.7096580683863227,-0.07447218299016803,0.1872473922704144,0.042672985615678984,-0.05993836038701272,0.14355685986785607,0.1289860813195176,-0.13639074074623264,0.39417051392335584,0.616876624675065,10000,0.04180924974042168,0.0508738050637172,False,0.05638760464012318,0.0654298938151456,False,0.1288898865885616,0.13264031366739712,False,1.9493588689617927,False,False,False
North (MT+ID),apr1_swe_zd,brown_harper_2026,60,-0.4696828928335223,0.0001999600079984003,-0.5621373960250045,-0.37860295248973086,-0.34791891204792896,-0.4341116766712135,-0.2634141560518369,-0.6963170314846135,-0.8757566277783387,-0.5175519843769395,0.0009998000399920016,10000,-0.3487629163615252,0.04267438015484414,True,-0.47037017425736766,0.0458836108838184,True,-0.6966543060776391,0.0895511608503498,True,2.0,True,True,True
South (CO+UT),apr1_swe_zd,brown_harper_2026,48,0.05062818967370569,0.7194561087782444,-0.06748839839880405,0.17135869320426156,0.03674852155139994,-0.05093462138980642,0.12321189398419213,0.174025135482903,-0.05096785200877452,0.3983195101443261,0.45810837832433515,10000,0.036138636297192855,0.04353662884349964,False,0.05193514740272876,0.0597117729007664,False,0.1736758290677758,0.11232184053827515,False,1.9493588689617927,False,False,False
ALL,apr1_swe_zd,brown_harper_2026,60,-0.363751155533015,0.0033993201359728054,-0.4691468677581712,-0.2591028451128669,-0.2326276581561593,-0.31275800316044233,-0.15388054175867644,-0.42179442520841226,-0.5926426290164643,-0.2507734573973638,0.021995600879824034,10000,-0.23331927245955938,0.03971936535044148,True,-0.36412485643551906,0.05251100566132608,True,-0.421708043206914,0.0854672929047751,True,2.0,True,True,True
