region,metric,n,pearson_r,pearson_p,r_ci_low,r_ci_high,spearman_rho,spearman_p,slope,slope_se,mean_nino,mean_neutral,mean_nina,n_nino,n_neutral,n_nina,welch_t_nino_vs_rest,welch_p_nino_vs_rest,r_within_nino,p_within_nino,n_within_nino
MT,precip_oct_mar_zd,48,-0.41008694602894835,0.0037941927261892915,-0.6021872224000231,-0.20180047482825028,-0.4192611568311674,0.003015540056981379,-0.29678320818024945,0.0973198461590912,-0.45083310070798405,0.22986936894129084,0.2231104854155016,16,16,16,-3.646445045693978,0.0007418251450012293,-0.13668215622418772,0.613728111334075,16
ID,precip_oct_mar_zd,46,-0.27398843893462116,0.06539114678110187,-0.5105301780654785,-0.04466214353680692,-0.3535434554747636,0.01594080141298292,-0.2154137786008101,0.11399069835013295,-0.37321904196832717,0.1401163812109475,0.1974420423128013,15,15,16,-2.349370874387177,0.024679231506181537,0.3687002526724267,0.17627480687194216,15
WY,precip_oct_mar_zd,48,-0.25143397020753955,0.0847290724125856,-0.44858558366500695,-0.05382958505607655,-0.26530224957062215,0.06839011753713446,-0.17579670058262548,0.09977618126891115,-0.2678990942329328,0.14891454718551872,0.1061798999944854,16,16,16,-2.2451549570633826,0.029608769794776724,0.11108742208964849,0.682116463803808,16
CO,precip_oct_mar_zd,48,-0.018675015137454398,0.8997440580949297,-0.23284440844792068,0.18361215192015462,-0.04478705870590613,0.7624490742820879,-0.013206079084247552,0.10424572898795012,0.0945401557762602,-0.139594832926065,0.11816087792856894,16,16,16,0.5573852678594847,0.5800057706783067,-0.08093155923325791,0.7657374928985039,16
UT,precip_oct_mar_zd,48,0.019626357387801316,0.8946649178361232,-0.21389584610925658,0.2476036573001494,-0.026655085847999888,0.8572814628354886,0.015770209114871755,0.11845002958014414,0.03916338593977818,-0.03174586692077292,0.036458524330901326,16,16,16,0.1414265230145728,0.8885006007904752,0.05601557851980754,0.8367538030021197,16
North (MT+ID),precip_oct_mar_zd,48,-0.36222758342844086,0.011406264371190442,-0.5772524777105257,-0.13903067108011063,-0.4230069835592977,0.002740558975265301,-0.2581538773527973,0.09794356757786692,-0.40333533948213707,0.19546112317359368,0.2105595533338138,16,16,16,-3.1688583623919557,0.002989684632078844,0.11471953009960628,0.6722540808581574,16
South (CO+UT),precip_oct_mar_zd,48,0.003989955757472994,0.9785278146399968,-0.21588482009659377,0.21753631792134318,-0.01558046769526674,0.9162920450882611,0.002852211468905318,0.1053977328273382,0.07427182643439577,-0.09089847712697213,0.07607911525940392,16,16,16,0.38548969680561274,0.7020831134007216,0.004717654657446918,0.9861655406805325,16
ALL,precip_oct_mar_zd,48,-0.15781538717992472,0.28404049263899334,-0.3866677055647833,0.07849883055127158,-0.19532586330163668,0.18337261975493002,-0.09069899370136073,0.08367534608610647,-0.12471954329674337,0.03171255012538297,0.11383940032108397,16,16,16,-1.1877445562170983,0.2422629554923483,0.2264476977679738,0.39903187386787137,16
