scheme,regions,tests,survive_fdr,survival_rate,median_abs_r,largest_abs_r
ranges (published),41,971,42,0.04325437693099897,0.1732984372526524,0.6099921659987643
"latitude bands, 2 deg",10,238,42,0.17647058823529413,0.18893077880890197,0.5130323338538472
snow climates,4,96,1,0.010416666666666666,0.18789273019765113,0.47544504666725723
latitude zones,3,72,20,0.2777777777777778,0.1850630504434307,0.5220758014652516
whole West,1,24,13,0.5416666666666666,0.25732406091546967,0.3726199440622664
