window,tests,mean_r2_phase,mean_r2_index,mean_r2_strength_gain,tests_where_strength_helps,mean_r2_within_nino
Early season,239,0.06114905845964022,0.039728030496646714,-0.0214210279629935,20,0.04499862246110147
Holidays,243,0.07010888115378294,0.04649889829075765,-0.023609982863025274,10,0.07054808428973192
Midwinter,245,0.0664549213151897,0.05442047504163234,-0.012034446273557348,38,0.0728309519773469
Spring,244,0.09768574013912538,0.06440458176363875,-0.03328115837548663,37,0.07218415664191019
