region,metric,n,pearson_r,pearson_p,r_ci_low,r_ci_high,spearman_rho,spearman_p,slope,slope_se,mean_nino,mean_neutral,mean_nina,n_nino,n_neutral,n_nina,welch_t_nino_vs_rest,welch_p_nino_vs_rest,r_within_nino,p_within_nino,n_within_nino
MT,nclimdiv_precip_pct_anom,77,-0.40540156503581193,0.00025461813824311115,-0.572548216215043,-0.21443500934705564,-0.3931374485408267,0.0004048656751662003,-8.348632758830595,2.1737590460186023,-6.660697296994813,5.326543175331562,10.321413248269794,25,25,27,-3.165485687899073,0.0026433322620543196,-0.28326657504084857,0.17002637754944544,25
ID,nclimdiv_precip_pct_anom,77,-0.34256485588808117,0.0022909224954791646,-0.5235930686004971,-0.1316307877727357,-0.3665996225317954,0.0010408423697338739,-7.782592206111437,2.46459142036282,-6.045391669655194,0.8186894820431596,11.247730131894297,25,25,27,-2.3697361800746055,0.021654229854281847,0.09556475462100221,0.6495384849999905,25
WY,nclimdiv_precip_pct_anom,77,-0.20424680996494454,0.0747854487747986,-0.38212005518846315,-0.02611127235121764,-0.2220461985651318,0.052272652480964854,-3.5332251131442907,1.9553852782339032,-4.786585365853653,-1.1890243902438982,3.665593947606147,25,25,27,-1.5943639808464782,0.11635425018531334,0.06750018411293626,0.7485226481203743,25
CO,nclimdiv_precip_pct_anom,77,0.19650427236032103,0.08673869719284591,0.01684103033314453,0.37261971414194334,0.22401451400837358,0.05016722919055343,4.140802649874834,2.385782323302761,7.5355699982434405,-2.729668013349739,-1.9003194306198126,25,25,27,1.9237481120709639,0.06083496262892701,0.09104630006004513,0.6651410013175523,25
UT,nclimdiv_precip_pct_anom,77,0.23735951521052331,0.03765790559690245,0.07058539405260439,0.39951724458073085,0.24040831706637894,0.03519883788835124,6.8786507138893045,3.2506772999559455,8.46088387133375,-5.624326317580981,-6.885270702142542,25,25,27,2.0214159074078903,0.04994843643366307,0.09882240319207584,0.6383774702090096,25
