region,metric,n,pearson_r,pearson_p,r_ci_low,r_ci_high,spearman_rho,spearman_p,slope,slope_se,mean_nino,mean_neutral,mean_nina,n_nino,n_neutral,n_nina,welch_t_nino_vs_rest,welch_p_nino_vs_rest,r_within_nino,p_within_nino,n_within_nino
MT,peak_swe_zd,60,-0.4833450535893283,9.156396359272355e-05,-0.6220918016672894,-0.3310885398613193,-0.4922256114322723,6.479277865506805e-05,-0.3712854338329589,0.08829945556846185,-0.4763435515594215,0.15418779357632315,0.4478970322861315,20,18,22,-4.615694812805735,2.569590852667158e-05,-0.0906299528034669,0.7039488200852139,20
ID,peak_swe_zd,46,-0.28360906154300314,0.05613105794422507,-0.5266623395174875,-0.027291365555166463,-0.35631900598006094,0.015076691984858458,-0.22053131314190405,0.11241266697353783,-0.349852217296625,0.07760188230590087,0.30049112013258195,15,15,16,-2.2828260294662703,0.029458631890754733,0.39147457793443896,0.1490239553574996,15
WY,peak_swe_zd,48,-0.24826173444185634,0.08886414169753488,-0.45171979480874536,-0.028921444164686685,-0.25547624032726574,0.07967973868837698,-0.1824968213947259,0.10499116652694866,-0.30659467600030965,0.06956333173011307,0.18403390495591082,16,16,16,-2.2912806055873967,0.026639554327785114,0.3132298688143376,0.2374806334077529,16
CO,peak_swe_zd,48,0.0029124329752557646,0.9843257130670234,-0.22057749831271084,0.21456575085229798,-0.025243614906965275,0.8647664905261693,0.0020832675973270123,0.1054650011313757,0.10357308299699106,-0.1576265127885928,0.11795023910616187,16,16,16,0.6292900974177336,0.532430760795472,0.019877213110304742,0.941753778865081,16
UT,peak_swe_zd,48,0.038555740276753146,0.7947269004305115,-0.21717075727042845,0.30218476745922046,-0.002117206411551926,0.9886051715425179,0.030066275163551,0.11489169232204285,0.05480559540708856,-0.1349677849032658,0.12116500228156273,16,16,16,0.24774146440721384,0.806001614845887,0.20500735751351024,0.4462656635742899,16
North (MT+ID),peak_swe_zd,60,-0.4645536153637222,0.00018462122585955913,-0.6230909700990195,-0.2981552966160824,-0.48022010871441206,0.00010318176015119892,-0.3456642978589285,0.0865197622399743,-0.43701212629877817,0.15515863388085466,0.45695412861023266,20,18,22,-4.3610741585459465,6.911562248266064e-05,0.12104661353066587,0.611203348300652,20
South (CO+UT),peak_swe_zd,48,0.023906183258077956,0.8718697411201218,-0.21526532157148764,0.2630974416497796,-0.026709373191885842,0.8569938204994956,0.017146994091424474,0.10572427158932983,0.08306726393009173,-0.14915890144850946,0.11954643773583026,16,16,16,0.4586753333542677,0.6491811244029393,0.14016443872190892,0.6046351876512802,16
ALL,peak_swe_zd,60,-0.3504414878711025,0.006050265550088461,-0.5392984543965795,-0.14496467629554877,-0.3780899640659477,0.002896799659190382,-0.22794805424791767,0.07999326110855626,-0.23619593916962572,0.025657766724597703,0.41044207380931347,20,18,22,-2.8095689505307595,0.00744639817791659,0.2368419789749164,0.3147101457084575,20
