region,metric,n,pearson_r,pearson_p,r_ci_low,r_ci_high,spearman_rho,spearman_p,slope,slope_se,mean_nino,mean_neutral,mean_nina,n_nino,n_neutral,n_nina,welch_t_nino_vs_rest,welch_p_nino_vs_rest,r_within_nino,p_within_nino,n_within_nino
MT,apr1_pct_anom,60,-0.4783117707744371,0.00011092731654030465,-0.625378652780413,-0.3178957242471969,-0.4872788996642652,7.865031049639105e-05,-11.8711784912975,2.861918789931648,-9.105827302080193,6.703453335538251,19.328017107997024,20,18,22,-4.069805681615488,0.00015289353733946432,-0.10542247873370686,0.6582413069815939,20
ID,apr1_pct_anom,46,-0.276451889772842,0.06291160721874799,-0.540753351986439,-0.001869593190441155,-0.3841978688332698,0.008387302739851058,-7.953296718174731,4.168091229346686,-10.54308855395097,2.036741037469203,13.22376486207797,15,15,16,-2.0434591948515726,0.049880346250112756,0.40478161832237103,0.13448747142454237,15
WY,apr1_pct_anom,48,-0.17968344068827105,0.22169092872665083,-0.37715524698368497,0.015109674748455164,-0.22637822400439828,0.12181147395245728,-3.8908340656053655,3.1407199957792766,-2.7382331186433055,3.91143661608938,6.969071163993675,16,16,16,-1.4616191673136238,0.15065432309023596,0.2588986104069405,0.33292707876203065,16
CO,apr1_pct_anom,48,0.08964721373426156,0.5445517386682246,-0.11397491489567249,0.28137178177467,0.054233056542060884,0.7142882714994077,2.382567059177333,3.9028084834158316,10.547544708182226,-2.596364957087076,5.4382463718044995,16,16,16,1.2691361557277065,0.21106200363816432,-0.030618428021520816,0.9103759933001783,16
UT,apr1_pct_anom,48,0.11283615838097576,0.4451124892229821,-0.13033901041529536,0.35155962998509016,0.094948564456521,0.5209149400760108,4.636208367429589,6.01940090806001,17.721718040831945,0.019375945056114396,13.52628708417009,16,16,16,0.821108893162003,0.4183747916016761,0.17426456843201502,0.5186143490330533,16
North (MT+ID),apr1_pct_anom,60,-0.44641280150122953,0.00034999258552952713,-0.6238963383046835,-0.2556672263054891,-0.4810816146964808,9.985061472331888e-05,-11.48967006303986,3.024099445661467,-8.44316825991381,6.494931272624923,20.24640330482272,20,18,22,-3.684891932995568,0.0005633222668969606,0.10572315590850886,0.6573235943502468,20
South (CO+UT),apr1_pct_anom,48,0.11151990721057842,0.4504741751861065,-0.10921466198339609,0.32577421992988326,0.09760864430693239,0.5092503053065208,3.6609285294278813,4.809970453071955,14.70745228241736,-1.03427526023036,9.515397181173473,16,16,16,1.0473109441988462,0.3024304302538139,0.10726498119805261,0.6925479803549913,16
ALL,apr1_pct_anom,60,-0.26250510390489523,0.04273729691601905,-0.4599324489878892,-0.05417140670361927,-0.2854363852202388,0.0270577455518511,-6.636092310492227,3.2029986142012574,1.3008930207871352,5.015518826097709,18.724419980576453,20,18,22,-1.759134491338884,0.08466107374463397,0.11928039837330442,0.6164521183624759,20
