region,metric,n,pearson_r,pearson_p,r_ci_low,r_ci_high,spearman_rho,spearman_p,slope,slope_se,mean_nino,mean_neutral,mean_nina,n_nino,n_neutral,n_nina,welch_t_nino_vs_rest,welch_p_nino_vs_rest,r_within_nino,p_within_nino,n_within_nino
MT,nclimdiv_tavg_djf_anom,77,0.2515958120718199,0.027295149686572838,0.02098338631542016,0.4688523681013278,0.26196470308723385,0.021364389433650235,0.5801044544466428,0.257675018547896,0.08185185185185002,-0.6077777777777795,-1.1543895747599466,25,25,27,1.6805942873684871,0.1004191311796605,0.4122293215025303,0.04058938057228261,25
ID,nclimdiv_tavg_djf_anom,77,0.2660153813084637,0.01936660121703169,0.08895124978620683,0.4351863006646866,0.2925546601007502,0.009825193808039154,0.41527662452507247,0.17376530857982356,0.22024691358024767,-0.3619753086419746,-0.8522633744855959,25,25,27,2.330437630352194,0.023895067771315844,0.15386025078156418,0.46276249819922166,25
WY,nclimdiv_tavg_djf_anom,77,0.16179900092185245,0.1597716154207273,-0.04920854796167038,0.3798626980687676,0.17207559573091585,0.13453732883840472,0.2630505436706218,0.18525601714992448,-0.018518518518518583,-0.27925925925925893,-0.6743484224965706,25,25,27,1.2410544865168875,0.22012410005744984,0.27380958304361847,0.18535821745328274,25
CO,nclimdiv_tavg_djf_anom,77,0.027978018599883917,0.8091383296234262,-0.18577551838546252,0.24115205642370244,0.03722792328270961,0.7478754901603172,0.03868068448452064,0.15957928747111558,-0.3075308641975316,-0.29716049382716125,-0.48772290809327906,25,25,27,0.27248614546543337,0.7863472186261679,0.11632695728143833,0.5797547712380741,25
UT,nclimdiv_tavg_djf_anom,77,0.06999125103240224,0.5452669509143938,-0.141959799647106,0.27735962388684426,0.058186311967496136,0.6152049210093112,0.11373713750601883,0.18718090226396256,-0.15592592592592627,-0.3011111111111113,-0.5775720164609057,25,25,27,0.7266793198808569,0.4711197018113767,-0.029923091671083306,0.8870901962635509,25
