region,metric,n,pearson_r,pearson_p,r_ci_low,r_ci_high,spearman_rho,spearman_p,slope,slope_se,mean_nino,mean_neutral,mean_nina,n_nino,n_neutral,n_nina,welch_t_nino_vs_rest,welch_p_nino_vs_rest,r_within_nino,p_within_nino,n_within_nino
MT,apr1_swe_zd,60,-0.4915693245930253,6.649186184677804e-05,-0.6373764742616084,-0.34032824842350595,-0.4965609318581663,5.453636919765486e-05,-0.37169837361824304,0.08646283760174342,-0.4413965050496902,0.08311748176190928,0.45930609572191583,20,18,22,-4.281142094686234,7.8358550051537e-05,-0.012905403053821055,0.9569348215636441,20
ID,apr1_swe_zd,46,-0.28914186975605827,0.05130271840069596,-0.5382447460202883,-0.024628370774980986,-0.35668907938076727,0.014964543684514508,-0.22407406968975704,0.1118397282406472,-0.33684092080884664,-0.003249478177568251,0.3188044935281885,15,15,16,-2.0595924168810056,0.04830603028117749,0.3922625432848729,0.1481350581117346,15
WY,apr1_swe_zd,48,-0.2038008058043562,0.16471555745040348,-0.3958205066049328,-0.013707946918974085,-0.23821286497153465,0.10300639982383733,-0.14655188428190047,0.10379938389939578,-0.21331951409581787,0.019564963881833777,0.1540313373751906,16,16,16,-1.6195033667629224,0.1121879455135234,0.24550563288019608,0.3594042240007306,16
CO,apr1_swe_zd,48,0.038828934499060525,0.7933041929247687,-0.1822727860439621,0.24078062258828475,-0.021606362866606835,0.8841074358868999,0.028250546500029224,0.1071926055446178,0.1611825155627651,-0.20602057957122316,0.12597046749239368,16,16,16,1.024767693123793,0.3110137361313232,-0.016064709095312824,0.9529126652464874,16
UT,apr1_swe_zd,48,0.05447770721395169,0.7130545001650872,-0.19070600672641705,0.2952424509074609,0.037295405249645475,0.8012988029828302,0.04267298561567897,0.11532139306592482,0.10231481284483122,-0.18966641647327384,0.13632387952390113,16,16,16,0.5077433811411399,0.6154723808909633,0.18272633764718754,0.4981813048501387,16
North (MT+ID),apr1_swe_zd,60,-0.4696828928335223,0.0001530708114530003,-0.6398760800059908,-0.29454310468320183,-0.4878625004908278,7.688415386604442e-05,-0.347918912047929,0.0858695002897357,-0.40558153742620995,0.07621680032433559,0.46625078893173205,20,18,22,-3.9493388186952956,0.00025720743970014865,0.15937812756898045,0.5021078077402582,20
South (CO+UT),apr1_swe_zd,48,0.05062818967370569,0.7325498274804839,-0.17897762108669713,0.26646945980977893,0.01829483488956408,0.9017749324332042,0.03674852155139992,0.10688364300700545,0.13820155851906607,-0.20312469259425556,0.13147753866658168,16,16,16,0.8074725414858641,0.4246439058436503,0.10990691425742566,0.6853324392377134,16
ALL,apr1_swe_zd,60,-0.3637511555330147,0.004277913833737997,-0.5573258652886184,-0.1613000362036802,-0.39926633691550684,0.0015766403879407598,-0.23262765815615935,0.0782211216799714,-0.20915307225253194,-0.034459067970649,0.41481442462304075,20,18,22,-2.526811824478449,0.015247747449586136,0.21147821463001223,0.3707623931242603,20
