region,window,metric,phase,strength,n_winters,mean,all_winters,diff,pct_change
Spring Mtns (Lee Canyon),Spring,big_storm_days_per_window,Neutral,neutral,5,0.141028716573767,0.7514170135704039,-0.6103882969966369,-81.2316311679369
Tetons (Jackson/Targhee),Early season,big_storm_days_per_window,El Nino,moderate,4,1.2162605755017855,1.487043232572149,-0.27078265707036353,-18.20946769664449
Tetons (Jackson/Targhee),Early season,big_storm_days_per_window,El Nino,strong,3,1.171038482909117,1.487043232572149,-0.31600474966303205,-21.250542199532184
Tetons (Jackson/Targhee),Early season,big_storm_days_per_window,El Nino,very strong,3,0.9513472390157126,1.487043232572149,-0.5356959935564364,-36.0242380196196
Tetons (Jackson/Targhee),Early season,big_storm_days_per_window,El Nino,weak,5,1.9056442052472917,1.487043232572149,0.41860097267514274,28.149885861158573
Tetons (Jackson/Targhee),Early season,big_storm_days_per_window,La Nina,moderate,4,1.9433787767495516,1.487043232572149,0.45633554417740263,30.687442986312906
Tetons (Jackson/Targhee),Early season,big_storm_days_per_window,La Nina,strong,5,1.335748726409315,1.487043232572149,-0.1512945061628339,-10.174183429834702
Tetons (Jackson/Targhee),Early season,big_storm_days_per_window,La Nina,weak,7,1.3245050035503798,1.487043232572149,-0.16253822902176918,-10.930296138103913
Tetons (Jackson/Targhee),Early season,big_storm_days_per_window,Neutral,neutral,15,1.5946516293602202,1.487043232572149,0.10760839678807121,7.236400020592557
Tetons (Jackson/Targhee),Holidays,big_storm_days_per_window,El Nino,moderate,4,0.35400728064000625,0.8211905524097173,-0.46718327176971103,-56.89097011635113
Tetons (Jackson/Targhee),Holidays,big_storm_days_per_window,El Nino,strong,3,0.1021702838063439,0.8211905524097173,-0.7190202686033734,-87.55827335001196
Tetons (Jackson/Targhee),Holidays,big_storm_days_per_window,El Nino,very strong,3,0.8856900158740685,0.8211905524097173,0.0644994634643512,7.854384500050901
Tetons (Jackson/Targhee),Holidays,big_storm_days_per_window,El Nino,weak,5,0.7075060652149311,0.8211905524097173,-0.11368448719478619,-13.84386204410027
Tetons (Jackson/Targhee),Holidays,big_storm_days_per_window,La Nina,moderate,4,0.9092679975389034,0.8211905524097173,0.08807744512918614,10.725579449340959
Tetons (Jackson/Targhee),Holidays,big_storm_days_per_window,La Nina,strong,5,0.7682996755052212,0.8211905524097173,-0.05289087690449612,-6.440755650353274
Tetons (Jackson/Targhee),Holidays,big_storm_days_per_window,La Nina,weak,7,0.9766433551705926,0.8211905524097173,0.15545280276087536,18.930174282291933
Tetons (Jackson/Targhee),Holidays,big_storm_days_per_window,Neutral,neutral,15,1.036170080619681,0.8211905524097173,0.2149795282099637,26.179006514276576
Tetons (Jackson/Targhee),Midwinter,big_storm_days_per_window,El Nino,moderate,4,1.9587623689336247,1.7595993489324204,0.19916302000120423,11.318657291049801
Tetons (Jackson/Targhee),Midwinter,big_storm_days_per_window,El Nino,strong,3,0.7520959017735166,1.7595993489324204,-1.007503447158904,-57.25754830326425
Tetons (Jackson/Targhee),Midwinter,big_storm_days_per_window,El Nino,very strong,3,1.7015150315439163,1.7595993489324204,-0.05808431738850417,-3.3009967538204044
Tetons (Jackson/Targhee),Midwinter,big_storm_days_per_window,El Nino,weak,5,1.1150220643764883,1.7595993489324204,-0.6445772845559321,-36.63204836640843
Tetons (Jackson/Targhee),Midwinter,big_storm_days_per_window,La Nina,moderate,4,1.9947117883274088,1.7595993489324204,0.23511243939498838,13.361703022772497
Tetons (Jackson/Targhee),Midwinter,big_storm_days_per_window,La Nina,strong,5,2.013695898641653,1.7595993489324204,0.25409654970923246,14.440591255242124
