region,window,metric,metric_label,n_total,test,n,r,r2,p,min_detectable_r,fdr_significant,n_tests
Park Range (Steamboat),Spring,storm_days,Storm days per 30 (>= 2 in of new snow),47,nested,47,,0.021959481097153337,0.3313118545532051,0.39891242123069554,False,2619
San Francisco Peaks (AZ Snowbowl),Early season,big_storm_days,Powder days per 30 (>= 6 in of new snow),46,within_nino,15,0.26928897255793033,0.07251655074130575,0.3313337332533493,0.6688990105175066,False,2619
Beartooth & Absaroka (Red Lodge),Spring,mean_depth,Base (mean snow depth),25,nested,25,,0.04496131299520826,0.3313951102336006,0.5351255042517953,False,2619
Gore & Tenmile (Vail/Summit/Copper),Spring,mean_depth,Base (mean snow depth),28,within_nina,12,-0.3139490884559749,0.09856403014233756,0.33153369326134774,0.732389290340833,False,2619
Coeur d'Alenes (Silver/Lookout),Spring,new_snow_in_total,Total new snow in the window (in),44,within_nina,16,-0.26236546015093404,0.06883563468021135,0.33153369326134774,0.6509928978614332,False,2619
Park Range (Steamboat),Holidays,storm_days,Storm days per 30 (>= 2 in of new snow),47,nested,47,,0.021849426196478273,0.33254008437877347,0.39891242123069554,False,2619
Park Range (Steamboat),Holidays,storm_days,Storm days per 30 (>= 2 in of new snow),47,within_nino,16,-0.2645550126122296,0.06998935469825696,0.33293341331733656,0.6509928978614332,False,2619
Tushar Mtns (Eagle Point),Early season,new_snow_in_total,Total new snow in the window (in),47,within_nino,16,0.25828471791692,0.06671099550942293,0.3343331333733253,0.6509928978614332,False,2619
Ruby Mtns & NE Nevada,Midwinter,mean_swe,Base (mean SWE in window),46,nested,46,,0.022182874500697468,0.3345923040382406,0.40301026636269627,False,2619
Jemez (Pajarito),Holidays,new_snow_in_total,Total new snow in the window (in),46,within_nina,16,0.25878850837728423,0.06697149206813971,0.3349330133973205,0.6509928978614332,False,2619
N Sierra / Tahoe (Palisades/Heavenly/Rose),Spring,mean_swe,Base (mean SWE in window),48,nested,48,,0.021103166752802213,0.3354111133915769,0.3949367405566347,False,2619
Gore & Tenmile (Vail/Summit/Copper),Spring,new_snow_in_total,Total new snow in the window (in),48,within_nina,16,-0.2552210082576067,0.06513776305602934,0.33553289342131576,0.6509928978614332,False,2619
W Central Idaho (Brundage/Tamarack),Spring,days_with_base,Days per 30 with a skiable base,46,within_nina,16,-0.26936545332456535,0.07255774744474859,0.33553289342131576,0.6509928978614332,False,2619
Bridger Range (Bridger Bowl),Spring,mean_swe,Base (mean SWE in window),50,nested,50,,0.0201466062143151,0.3358774630740814,0.387328532677401,False,2619
Bridger Range (Bridger Bowl),Spring,new_snow_in_total,Total new snow in the window (in),50,within_nina,16,0.25539939779607995,0.06522885239460029,0.3359328134373125,0.6509928978614332,False,2619
Bighorn Mtns (Meadowlark),Holidays,big_storm_days,Powder days per 30 (>= 6 in of new snow),48,within_nino,16,-0.27270201536026145,0.07436638918154827,0.33673265346930614,0.6509928978614332,False,2619
North Cascades (Mt Baker),Holidays,days_with_base,Days per 30 with a skiable base,31,within_nina,13,-0.28630539632320606,0.0819707799637881,0.3369326134773045,0.7093821438227795,False,2619
Park Range (Steamboat),Midwinter,big_storm_days,Powder days per 30 (>= 6 in of new snow),47,within_nino,16,-0.2645496336814469,0.06998650868098774,0.33713257348530296,0.6509928978614332,False,2619
White Mtns AZ (Sunrise Park),Holidays,new_snow_in_total,Total new snow in the window (in),46,within_nino,15,-0.26374410724972464,0.06956095410895426,0.3379324135172965,0.6688990105175066,False,2619
Central Oregon (Mt Bachelor),Midwinter,storm_days,Storm days per 30 (>= 2 in of new snow),46,within_nino,15,0.26477967568443217,0.07010827665555308,0.33873225354929015,0.6688990105175066,False,2619
S San Juans (Wolf Creek),Holidays,big_storm_days,Powder days per 30 (>= 6 in of new snow),46,within_nino,15,-0.27251432012660237,0.07426405467406431,0.33893221355728853,0.6688990105175066,False,2619
Chugach (Alyeska),Spring,mean_depth,Base (mean snow depth),21,nested,21,,0.05380436300031901,0.33929504872969063,0.578589616221095,False,2619
