window,tests,negative,frac_negative,mean_r,sign_test_p
Early season,123,81,0.6585365853658537,-0.03546473089591403,0.0005560923592546729
Holidays,123,103,0.8373983739837398,-0.1286452690251232,1.1701818604131554e-14
Midwinter,123,89,0.7235772357723578,-0.09763940970412839,7.43200227229493e-07
Spring,123,71,0.5772357723577236,-0.04690000031978974,0.10420386640532604
