region,metric,n,pearson_r,pearson_p,r_ci_low,r_ci_high,spearman_rho,spearman_p,slope,slope_se,mean_nino,mean_neutral,mean_nina,n_nino,n_neutral,n_nina,welch_t_nino_vs_rest,welch_p_nino_vs_rest,r_within_nino,p_within_nino,n_within_nino
MT,course_apr1_swe_zd,77,-0.45480437684737385,3.247457062530694e-05,-0.5819095469846357,-0.3149055600767883,-0.481825712907814,9.13670727578763e-06,-0.33744212072915214,0.07629964273755555,-0.3439338362300998,-0.050661798700191794,0.45302278027111886,25,25,27,-3.6381781191746194,0.0005680121422137361,-0.1594571962912057,0.4464425106437793,25
ID,course_apr1_swe_zd,77,-0.30239245989162433,0.007518285525788067,-0.49031214883182733,-0.10793890646048133,-0.34347763360404243,0.0022257525593532028,-0.23538915067590294,0.08567643199087585,-0.1929143436578525,-0.18520194838867707,0.41844845105734557,25,25,27,-1.6861285776592094,0.09886141455041197,0.16418155758612635,0.43290857363436425,25
WY,course_apr1_swe_zd,77,-0.342356080024243,0.002306067069968092,-0.49490646317025944,-0.18461688102552518,-0.36983528269222776,0.0009315654273203318,-0.24303604451929703,0.07701783093117157,-0.24515145223116505,-0.07224935764863338,0.32996707809371817,25,25,27,-2.572541328493008,0.012450256690581004,-0.10513784048342727,0.6169582822088481,25
CO,course_apr1_swe_zd,77,0.021776950740101678,0.8508855406742233,-0.1517248118479681,0.1847809397030087,0.01939029047634578,0.8670696502785255,0.016801320993500127,0.08906615935464897,0.10973970939665978,-0.20630344400758374,0.09676746191769964,25,25,27,0.8534582112784325,0.39770019945671453,-0.05590078815042791,0.7907000164789447,25
UT,course_apr1_swe_zd,77,0.08179763167779561,0.4794312684448392,-0.11966809250210841,0.270586479033533,0.046168610273170436,0.6901037906082825,0.06986574451921916,0.09829584211165641,0.151960062177597,-0.24951523691316763,0.08789237137766125,25,25,27,0.9937047983040683,0.3268136938197846,0.11797002962031494,0.574375471549877,25
North (MT+ID),course_apr1_swe_zd,77,-0.4014092456104319,0.00029669563836004866,-0.5568516263288268,-0.2330258326378763,-0.4505120370334711,3.9339741735741116e-05,-0.2873552648458863,0.07570919824141838,-0.27147483722261584,-0.11455015070650967,0.4341824500403196,25,25,27,-2.753360854505235,0.008132125934427631,0.026400676271584142,0.9003123678496714,25
South (CO+UT),course_apr1_swe_zd,77,0.05711481989056723,0.6217398138051085,-0.12992995218379272,0.22329458316541548,0.041909319348196854,0.7174291876065394,0.04310300899430672,0.08699987552945038,0.13074397186256964,-0.2237827661936329,0.08002822291596413,25,25,27,1.0338816983848587,0.3071037957347855,0.03507151876241475,0.8678179998002544,25
ALL,course_apr1_swe_zd,77,-0.2628850645794714,0.020895665169612172,-0.4351049451913884,-0.09463661196783338,-0.32432397040130634,0.0040071113236262714,-0.16952508404013888,0.07184341083165331,-0.13410371807512037,-0.13872644744181756,0.2905354128608755,25,25,27,-1.3980218485769822,0.16883481383540594,0.006715935285611006,0.9745830860783669,25
